time,open,high,low,close,volume
2026-06-09 05:00:00+00:00,2.4,2.420171,2.369139,2.389311,2967331.61
2026-06-09 06:00:00+00:00,2.389311,2.401042,2.388351,2.400082,3350675.44
2026-06-09 07:00:00+00:00,2.400082,2.436666,2.371844,2.408427,2527110.5
2026-06-09 08:00:00+00:00,2.408427,2.41562,2.404595,2.411788,2275325.11
2026-06-09 09:00:00+00:00,2.411788,2.425712,2.379733,2.393657,4325369.78
2026-06-09 10:00:00+00:00,2.393657,2.400082,2.387812,2.394237,1550350.23
2026-06-09 11:00:00+00:00,2.394237,2.426329,2.378327,2.410419,4166863.74
2026-06-09 12:00:00+00:00,2.410419,2.411197,2.381436,2.382214,5351674.52
2026-06-09 13:00:00+00:00,2.382214,2.392971,2.36254,2.373297,3013815.5
2026-06-09 14:00:00+00:00,2.373297,2.384789,2.320734,2.332225,7523583.04
2026-06-09 15:00:00+00:00,2.332225,2.379447,2.257456,2.304678,5336013.75
2026-06-09 16:00:00+00:00,2.304678,2.324567,2.244873,2.264762,7420235.0
2026-06-09 17:00:00+00:00,2.264762,2.280429,2.244955,2.260621,2222903.36
2026-06-09 18:00:00+00:00,2.260621,2.263952,2.229752,2.233082,5667903.01
2026-06-09 19:00:00+00:00,2.233082,2.241965,2.231516,2.240399,2213308.47
2026-06-09 20:00:00+00:00,2.240399,2.269284,2.21628,2.245165,2707644.0
2026-06-09 21:00:00+00:00,2.245165,2.25594,2.231102,2.241877,2460534.11
2026-06-09 22:00:00+00:00,2.241877,2.258325,2.16717,2.183618,9912009.39
2026-06-09 23:00:00+00:00,2.183618,2.188043,2.167605,2.17203,3737564.14
2026-06-10 00:00:00+00:00,2.17203,2.200304,2.143689,2.171963,1541924.14
2026-06-10 01:00:00+00:00,2.171963,2.209244,2.1385,2.175781,1717660.11
2026-06-10 02:00:00+00:00,2.175781,2.204409,2.111169,2.139797,7441265.72
2026-06-10 03:00:00+00:00,2.139797,2.155261,2.113815,2.129279,3093833.02
2026-06-10 04:00:00+00:00,2.129279,2.155931,2.079866,2.106518,5335458.61
2026-06-10 05:00:00+00:00,2.106518,2.1371,2.057265,2.087848,4827728.26
2026-06-10 06:00:00+00:00,2.087848,2.117508,2.085439,2.1151,5908892.44
2026-06-10 07:00:00+00:00,2.1151,2.147469,2.063588,2.095957,4113936.01
2026-06-10 08:00:00+00:00,2.095957,2.105211,2.086933,2.096187,1859457.58
2026-06-10 09:00:00+00:00,2.096187,2.143755,2.072267,2.119835,5475071.92
2026-06-10 10:00:00+00:00,2.119835,2.15055,2.075089,2.105804,4148375.27
2026-06-10 11:00:00+00:00,2.105804,2.116901,2.092856,2.103953,1566537.43
2026-06-10 12:00:00+00:00,2.103953,2.118576,2.093282,2.107905,2417561.65
